,user_id,type,submitdate,breq_amotivation,breq_external_regulation,breq_introjected_regulation,breq_identified_regulation,breq_intrinsic_regulation,breq_self_determination
0,621e2e8e67b776a24055b564,breq,2021-05-31,1.0,1.0,1.0,3.5,4.25,intrinsic_regulation
1,621e2e8e67b776a24055b564,breq,2021-07-26,1.0,1.0,1.6666666666666667,3.5,4.0,intrinsic_regulation
0,621e2eaf67b776a2406b14ac,breq,2021-11-29,1.25,1.0,1.6666666666666667,4.5,3.75,identified_regulation
1,621e2eaf67b776a2406b14ac,breq,2022-01-17,1.0,1.25,2.3333333333333335,4.0,3.5,identified_regulation
0,621e2ed667b776a24085d8d1,breq,2021-06-07,2.75,2.0,3.0,2.5,1.0,introjected_regulation
1,621e2ed667b776a24085d8d1,breq,2021-07-30,1.0,1.5,2.3333333333333335,2.5,2.5,identified_regulation
0,621e2f3967b776a240c654db,breq,2021-05-31,1.0,2.0,1.0,2.5,3.0,intrinsic_regulation
0,621e2f6167b776a240e082a9,breq,2021-06-01,1.0,1.25,2.3333333333333335,5.0,5.0,identified_regulation
1,621e2f6167b776a240e082a9,breq,2021-08-02,1.0,1.5,4.0,4.75,4.5,identified_regulation
0,621e2f7a67b776a240f14425,breq,2021-05-31,1.0,1.25,1.0,3.25,3.75,intrinsic_regulation
1,621e2f7a67b776a240f14425,breq,2021-07-30,1.0,1.0,1.3333333333333333,3.75,4.0,intrinsic_regulation
2,621e2f7a67b776a240f14425,breq,2021-06-08,1.0,1.25,1.0,3.25,3.25,identified_regulation
0,621e2f9167b776a240011ccb,breq,2021-11-28,1.0,1.0,4.333333333333333,3.5,5.0,intrinsic_regulation
1,621e2f9167b776a240011ccb,breq,2022-01-19,1.0,1.0,4.0,4.5,5.0,intrinsic_regulation
0,621e2fb367b776a24015accd,breq,2021-07-26,1.25,1.75,3.3333333333333335,3.25,3.5,intrinsic_regulation
1,621e2fb367b776a24015accd,breq,2021-05-31,1.0,1.5,3.0,3.25,3.25,identified_regulation
0,621e2fce67b776a240279baa,breq,2021-05-31,1.0,2.5,3.0,3.0,4.5,intrinsic_regulation
1,621e2fce67b776a240279baa,breq,2021-07-26,1.0,2.5,3.0,2.0,4.5,intrinsic_regulation
0,621e2ff067b776a2403eb737,breq,2021-11-29,1.25,2.25,2.3333333333333335,2.5,2.5,identified_regulation
1,621e2ff067b776a2403eb737,breq,2022-01-17,1.0,1.0,1.6666666666666667,2.5,3.0,intrinsic_regulation
0,621e300767b776a2404dc717,breq,2022-01-17,1.0,2.25,2.0,2.5,2.75,intrinsic_regulation
1,621e300767b776a2404dc717,breq,2022-01-24,1.0,1.25,2.0,3.0,2.75,identified_regulation
0,621e301367b776a24057738e,breq,2021-06-01,1.0,1.5,3.0,4.5,4.0,identified_regulation
1,621e301367b776a24057738e,breq,2021-07-26,1.0,1.0,3.0,4.5,4.0,identified_regulation
1,621e301e67b776a240608a72,breq,2021-08-28,1.0,1.5,2.0,4.5,4.75,intrinsic_regulation
3,621e301e67b776a240608a72,breq,2021-05-31,1.25,1.0,3.0,4.25,4.75,intrinsic_regulation
4,621e301e67b776a240608a72,breq,2021-11-22,1.0,1.0,2.0,4.75,4.75,identified_regulation
0,621e309b67b776a240b532b0,breq,2021-11-22,1.25,1.75,3.0,4.0,4.25,intrinsic_regulation
1,621e309b67b776a240b532b0,breq,2022-01-19,1.0,1.75,2.6666666666666665,3.75,4.5,intrinsic_regulation
0,621e30c867b776a240d4aa6c,breq,2021-08-01,1.0,2.0,3.3333333333333335,4.75,5.0,intrinsic_regulation
1,621e30c867b776a240d4aa6c,breq,2021-06-04,1.0,1.0,3.0,4.75,5.0,intrinsic_regulation
0,621e30e267b776a240e5bf90,breq,2021-11-23,1.75,1.75,2.3333333333333335,3.0,3.0,identified_regulation
1,621e30e267b776a240e5bf90,breq,2022-01-17,2.25,1.5,1.0,3.0,4.25,intrinsic_regulation
0,621e30e467b776a240e817c7,breq,2021-08-01,1.0,1.75,4.0,4.0,2.75,introjected_regulation
1,621e30e467b776a240e817c7,breq,2021-06-06,1.0,1.25,3.6666666666666665,4.75,3.0,identified_regulation
0,621e30f467b776a240f22944,breq,2021-11-29,1.0,1.75,3.3333333333333335,3.5,3.25,identified_regulation
0,621e310d67b776a24003096d,breq,2021-11-22,1.0,1.25,4.0,4.5,4.5,identified_regulation
0,621e312a67b776a240164d59,breq,2021-11-22,2.0,1.75,3.6666666666666665,3.25,3.0,introjected_regulation
1,621e312a67b776a240164d59,breq,2022-01-17,2.5,3.0,3.0,3.0,3.5,intrinsic_regulation
0,621e314867b776a24029ebf9,breq,2021-05-31,1.0,1.25,2.6666666666666665,3.5,3.25,identified_regulation
0,621e323667b776a240f19134,breq,2021-11-23,1.0,2.0,2.6666666666666665,3.75,4.0,intrinsic_regulation
1,621e323667b776a240f19134,breq,2022-01-17,1.25,2.0,3.6666666666666665,3.5,4.0,intrinsic_regulation
0,621e324e67b776a2400191cb,breq,2021-11-27,1.5,1.0,1.0,2.5,3.0,intrinsic_regulation
1,621e324e67b776a2400191cb,breq,2022-01-17,1.0,1.0,1.3333333333333333,2.25,2.25,identified_regulation
0,621e328667b776a240281372,breq,2021-05-31,1.0,1.5,2.3333333333333335,4.25,4.5,intrinsic_regulation
0,621e329067b776a2402ffad2,breq,2021-05-31,1.5,2.25,1.3333333333333333,3.5,3.75,intrinsic_regulation
1,621e329067b776a2402ffad2,breq,2021-06-07,2.25,1.5,1.3333333333333333,3.25,4.0,intrinsic_regulation
2,621e329067b776a2402ffad2,breq,2021-06-14,2.5,1.25,1.3333333333333333,3.0,4.0,intrinsic_regulation
3,621e329067b776a2402ffad2,breq,2021-07-26,1.75,1.0,1.0,3.25,3.25,identified_regulation
0,621e32af67b776a24045b4cf,breq,2021-05-31,1.25,1.0,2.6666666666666665,4.0,3.5,identified_regulation
1,621e32af67b776a24045b4cf,breq,2021-07-26,1.0,1.25,2.6666666666666665,4.0,3.25,identified_regulation
0,621e32d067b776a2405b7d54,breq,2021-12-09,2.5,2.25,3.3333333333333335,3.0,2.75,introjected_regulation
0,621e32d967b776a240627414,breq,2021-05-31,1.25,1.0,1.0,4.0,3.75,identified_regulation
0,621e32e667b776a2406d2f1c,breq,2021-11-23,1.25,1.25,1.6666666666666667,4.0,3.25,identified_regulation
0,621e331067b776a24085dd3f,breq,2021-11-23,1.0,1.0,1.0,4.5,4.5,identified_regulation
1,621e331067b776a24085dd3f,breq,2022-01-17,1.0,1.0,1.3333333333333333,3.75,4.0,intrinsic_regulation
0,621e332267b776a24092a584,breq,2021-06-02,1.0,1.5,2.6666666666666665,3.75,2.25,identified_regulation
0,621e333567b776a240a0c217,breq,2021-11-23,1.25,1.25,2.6666666666666665,3.75,4.0,intrinsic_regulation
0,621e333967b776a240a3cd06,breq,2021-11-27,1.0,1.0,5.0,4.5,4.75,introjected_regulation
0,621e335a67b776a240bb12ff,breq,2021-05-31,1.0,1.0,1.0,3.25,3.75,intrinsic_regulation
1,621e335a67b776a240bb12ff,breq,2021-07-29,1.0,1.0,1.0,3.0,3.0,identified_regulation
0,621e337667b776a240ce78ab,breq,2021-06-07,1.25,1.0,1.6666666666666667,2.75,2.0,identified_regulation
1,621e337667b776a240ce78ab,breq,2021-07-26,1.0,1.25,2.0,2.25,2.5,intrinsic_regulation
0,621e339967b776a240e502de,breq,2022-01-20,1.0,1.5,3.3333333333333335,5.0,5.0,identified_regulation
1,621e339967b776a240e502de,breq,2021-11-22,1.0,1.0,2.6666666666666665,4.75,5.0,intrinsic_regulation
0,621e33b067b776a240f39e56,breq,2021-06-08,1.0,1.75,2.3333333333333335,4.0,4.25,intrinsic_regulation
1,621e33b067b776a240f39e56,breq,2021-07-26,1.0,2.5,3.6666666666666665,5.0,4.0,identified_regulation
0,621e33cf67b776a240087de9,breq,2021-11-24,1.0,1.0,2.0,3.25,2.25,identified_regulation
1,621e33cf67b776a240087de9,breq,2022-01-17,1.0,1.25,2.6666666666666665,3.25,2.0,identified_regulation
0,621e33ed67b776a2401cf5f7,breq,2021-06-03,1.0,1.5,1.6666666666666667,4.5,5.0,intrinsic_regulation
1,621e33ed67b776a2401cf5f7,breq,2021-07-27,1.0,2.0,2.3333333333333335,3.25,4.0,intrinsic_regulation
0,621e341067b776a24037b105,breq,2021-05-31,2.0,1.0,1.0,1.0,1.0,amotivation
1,621e341067b776a24037b105,breq,2021-07-28,4.0,1.0,1.6666666666666667,2.0,1.5,amotivation
0,621e345c67b776a2407146a8,breq,2021-08-17,1.0,1.0,1.6666666666666667,3.5,3.0,identified_regulation
0,621e346f67b776a24081744f,breq,2022-01-24,1.5,1.5,3.3333333333333335,1.75,1.5,introjected_regulation
0,621e34db67b776a240c9c2be,breq,2021-05-31,1.0,2.0,2.0,3.5,4.25,intrinsic_regulation
1,621e34db67b776a240c9c2be,breq,2021-06-09,1.25,1.25,1.6666666666666667,2.5,3.0,intrinsic_regulation
0,621e34ec67b776a240d60873,breq,2021-06-02,1.0,1.0,1.0,2.25,1.0,identified_regulation
0,621e34f767b776a240de4e1a,breq,2021-07-26,3.5,1.0,1.0,1.5,2.0,amotivation
2,621e34f767b776a240de4e1a,breq,2021-06-07,2.5,3.0,1.0,3.0,1.5,external_regulation
0,621e351a67b776a240f6204b,breq,2021-07-26,1.0,1.0,1.3333333333333333,4.5,5.0,intrinsic_regulation
0,621e356967b776a24027bd9f,breq,2021-11-24,1.0,1.0,3.0,4.5,5.0,intrinsic_regulation
1,621e356967b776a24027bd9f,breq,2022-01-17,1.0,1.0,4.0,4.75,5.0,intrinsic_regulation
0,621e360b67b776a24039709f,breq,2021-06-07,1.0,1.25,3.0,4.0,3.5,identified_regulation
1,621e360b67b776a24039709f,breq,2021-08-05,1.0,1.75,2.3333333333333335,4.25,4.0,identified_regulation
0,621e362467b776a2404ad513,breq,2021-06-02,2.5,1.0,1.3333333333333333,3.25,3.0,identified_regulation
1,621e362467b776a2404ad513,breq,2021-08-01,2.5,1.0,1.0,2.25,3.0,intrinsic_regulation
0,621e366567b776a24076a727,breq,2021-11-22,1.0,1.0,3.3333333333333335,4.25,4.5,intrinsic_regulation
1,621e366567b776a24076a727,breq,2022-01-17,1.0,1.0,4.333333333333333,4.75,4.75,identified_regulation
