,user_id,type,submitdate,positive_affect_score,negative_affect_score
1,621e2e8e67b776a24055b564,panas,2021-07-26,37,14
2,621e2e8e67b776a24055b564,panas,2021-05-31,38,12
3,621e2e8e67b776a24055b564,panas,2021-06-07,37,12
4,621e2e8e67b776a24055b564,panas,2021-06-28,31,12
5,621e2e8e67b776a24055b564,panas,2021-07-19,37,12
0,621e2eaf67b776a2406b14ac,panas,2021-11-29,28,35
1,621e2eaf67b776a2406b14ac,panas,2021-12-06,32,21
2,621e2eaf67b776a2406b14ac,panas,2021-12-13,26,17
4,621e2eaf67b776a2406b14ac,panas,2022-01-10,27,12
5,621e2eaf67b776a2406b14ac,panas,2022-01-05,33,21
6,621e2eaf67b776a2406b14ac,panas,2022-01-07,26,16
0,621e2ed667b776a24085d8d1,panas,2021-06-07,28,20
1,621e2ed667b776a24085d8d1,panas,2021-06-22,33,19
2,621e2ed667b776a24085d8d1,panas,2021-07-17,26,40
3,621e2ed667b776a24085d8d1,panas,2021-07-30,24,20
4,621e2ed667b776a24085d8d1,panas,2021-06-30,35,23
0,621e2f3967b776a240c654db,panas,2021-05-31,30,12
1,621e2f3967b776a240c654db,panas,2021-06-07,29,13
2,621e2f3967b776a240c654db,panas,2021-06-22,30,15
3,621e2f3967b776a240c654db,panas,2021-07-05,28,31
4,621e2f3967b776a240c654db,panas,2021-07-13,29,24
5,621e2f3967b776a240c654db,panas,2021-07-26,29,24
6,621e2f3967b776a240c654db,panas,2021-06-15,31,15
7,621e2f3967b776a240c654db,panas,2021-06-28,30,11
8,621e2f3967b776a240c654db,panas,2021-07-20,25,32
0,621e2f6167b776a240e082a9,panas,2021-06-08,31,26
1,621e2f6167b776a240e082a9,panas,2021-06-14,28,18
2,621e2f6167b776a240e082a9,panas,2021-06-23,19,29
3,621e2f6167b776a240e082a9,panas,2021-06-29,18,28
4,621e2f6167b776a240e082a9,panas,2021-08-02,18,26
5,621e2f6167b776a240e082a9,panas,2021-06-01,30,18
6,621e2f6167b776a240e082a9,panas,2021-07-15,27,27
0,621e2f7a67b776a240f14425,panas,2021-05-31,21,13
1,621e2f7a67b776a240f14425,panas,2021-06-20,38,16
2,621e2f7a67b776a240f14425,panas,2021-06-22,40,15
3,621e2f7a67b776a240f14425,panas,2021-06-28,39,17
4,621e2f7a67b776a240f14425,panas,2021-07-06,32,26
5,621e2f7a67b776a240f14425,panas,2021-07-13,35,16
6,621e2f7a67b776a240f14425,panas,2021-07-19,38,23
7,621e2f7a67b776a240f14425,panas,2021-06-08,32,17
8,621e2f7a67b776a240f14425,panas,2021-07-30,43,18
0,621e2f9167b776a240011ccb,panas,2021-12-12,30,45
1,621e2f9167b776a240011ccb,panas,2021-12-26,43,26
2,621e2f9167b776a240011ccb,panas,2022-01-16,43,31
3,621e2f9167b776a240011ccb,panas,2021-11-28,40,29
4,621e2f9167b776a240011ccb,panas,2022-01-09,39,36
0,621e2fb367b776a24015accd,panas,2021-06-07,37,16
2,621e2fb367b776a24015accd,panas,2021-06-28,25,27
3,621e2fb367b776a24015accd,panas,2021-07-12,29,22
4,621e2fb367b776a24015accd,panas,2021-07-20,27,17
5,621e2fb367b776a24015accd,panas,2021-07-26,28,14
6,621e2fb367b776a24015accd,panas,2021-05-31,35,17
7,621e2fb367b776a24015accd,panas,2021-06-22,35,19
8,621e2fb367b776a24015accd,panas,2021-07-05,32,21
0,621e2fce67b776a240279baa,panas,2021-05-31,24,21
1,621e2fce67b776a240279baa,panas,2021-07-05,33,21
2,621e2fce67b776a240279baa,panas,2021-07-20,20,18
3,621e2fce67b776a240279baa,panas,2021-07-26,28,15
4,621e2fce67b776a240279baa,panas,2021-06-24,27,13
0,621e2ff067b776a2403eb737,panas,2021-12-13,21,20
1,621e2ff067b776a2403eb737,panas,2021-12-28,22,25
2,621e2ff067b776a2403eb737,panas,2021-11-29,19,27
3,621e2ff067b776a2403eb737,panas,2021-12-01,16,35
